,"Euro Area, FX Spot Rates, Macrobond, EUR per USD","Japan, FX Spot Rates, Macrobond, JPY per USD","United Kingdom, FX Spot Rates, Macrobond, GBP per USD","Switzerland, FX Spot Rates, Macrobond, CHF per USD","Canada, FX Spot Rates, Macrobond, CAD per USD","Australia, FX Spot Rates, Macrobond, AUD per USD","New Zealand, FX Spot Rates, Macrobond, NZD per USD","Norway, FX Spot Rates, Macrobond, NOK per USD","Sweden, FX Spot Rates, Macrobond, SEK per USD","United States, FX Indices, ICE, U.S. Dollar Index, Close"
1974-04-29,0.8146,279.33,0.4112,2.93,0.9615,0.6734,0.684,5.3505,4.2662,98.22
1974-04-30,0.8161,279.64,0.4125,2.915,0.9606,0.6734,0.6811,5.3447,4.2772,98.49
1974-05-01,0.8159,279.41,0.4135,2.915,0.9596,0.6734,0.6833,5.3447,4.279,98.48
1974-05-02,0.8202,279.96,0.4134,2.954,0.9605,0.6734,0.6833,5.3533,4.2992,98.71
1974-05-03,0.819,279.8,0.4136,2.943,0.9612,0.6734,0.683,5.3763,4.2974,98.8
1974-05-06,0.8133,279.41,0.4107,2.9345,0.9638,0.6734,0.6827,5.3248,4.2553,98.07
1974-05-07,0.8149,279.56,0.414,2.911,0.9631,0.6734,0.6805,5.3333,4.279,98.41
1974-05-08,0.8087,277.62,0.4115,2.9005,0.964,0.6734,0.6819,5.2687,4.2337,97.61
1974-05-09,0.8064,277.62,0.4114,2.9,0.9644,0.6734,0.6799,5.1894,4.2301,97.55
1974-05-10,0.8073,277.62,0.4115,2.871,0.962,0.6734,0.68,5.2138,4.2409,97.47
1974-05-13,0.8023,277.62,0.4117,2.8345,0.9625,0.6734,0.6801,5.1894,4.1858,96.86
1974-05-14,0.8005,277.78,0.4135,2.785,0.9622,0.6734,0.6794,5.2356,4.1858,96.89
1974-05-15,0.8127,277.39,0.4125,2.84,0.9622,0.6734,0.6818,5.339,4.2882,98.22
1974-05-16,0.8176,277.62,0.4145,2.948,0.9624,0.6734,0.6832,5.305,4.2735,98.12
1974-05-17,0.8139,277.7,0.4149,2.875,0.9639,0.6757,0.6822,5.3135,4.2699,98.19
1974-05-20,0.8184,278.24,0.4158,2.892,0.9632,0.6734,0.6826,5.3419,4.2937,98.91
1974-05-21,0.8184,279.1,0.4156,2.915,0.9634,0.6734,0.684,5.3706,4.2735,98.66
1974-05-22,0.8151,279.88,0.4142,2.888,0.9626,0.6734,0.6838,5.3305,4.268,98.35
1974-05-23,0.8144,279.56,0.4147,2.888,0.9606,0.6734,0.6828,5.3163,4.2553,98.23
1974-05-24,0.818,279.49,0.4165,2.888,0.9604,0.6734,0.6832,5.3305,4.268,98.7
1974-05-27,0.8197,279.49,0.4165,2.926,0.9604,0.6734,0.6839,5.3305,4.268,98.7
1974-05-28,0.826,279.33,0.4179,2.948,0.9617,0.6734,0.6839,5.4171,4.3253,99.33
1974-05-29,0.8298,279.72,0.4182,2.941,0.963,0.6745,0.6854,5.4407,4.386,100.1
1974-05-30,0.8319,280.9,0.4181,2.994,0.9623,0.6745,0.6868,5.4348,4.3611,100.05
1974-05-31,0.8293,281.93,0.4174,2.976,0.9622,0.6745,0.6868,5.4526,4.329,99.77
1974-06-03,0.8271,283.69,0.417,2.976,0.9626,0.6745,0.6868,5.4318,4.3066,99.56
1974-06-04,0.8262,282.89,0.4165,2.973,0.963,0.6745,0.6865,5.4555,4.3459,99.6
1974-06-05,0.8236,281.85,0.4153,2.951,0.9631,0.6745,0.686,5.4407,4.3478,99.3
1974-06-06,0.8228,281.93,0.4154,2.939,0.9632,0.6734,0.6843,5.423,4.3309,99.08
1974-06-07,0.823,282.65,0.4162,2.9355,0.9633,0.6745,0.6846,5.4113,4.3422,99.27
1974-06-10,0.8252,282.17,0.4167,2.945,0.9634,0.6745,0.6856,5.4201,4.3649,99.56
1974-06-11,0.831,282.25,0.4175,3.001,0.966,0.6745,0.686,5.4259,4.3592,99.84
1974-06-12,0.8311,282.97,0.4176,2.9925,0.9667,0.6745,0.6864,5.4142,4.3725,100.24
1974-06-13,0.8303,282.49,0.4183,3.008,0.965,0.6734,0.6871,5.4142,4.3611,100.02
1974-06-14,0.8305,282.57,0.418,2.993,0.9639,0.6734,0.6873,5.4201,4.3668,99.98
1974-06-17,0.8308,282.73,0.4185,2.99,0.9646,0.6734,0.687,5.4201,4.3783,100
1974-06-18,0.8321,282.73,0.4188,2.9995,0.966,0.6734,0.6897,5.4289,4.386,100.17
1974-06-19,0.8311,282.65,0.4184,2.987,0.9668,0.6734,0.6879,5.4113,4.3649,100.2
1974-06-20,0.8323,282.89,0.4191,2.996,0.9669,0.6734,0.6876,5.4171,4.3649,100.27
1974-06-21,0.8346,283.21,0.4207,3.006,0.969,0.6757,0.6881,5.4407,4.3879,100.51
1974-06-24,0.8395,283.61,0.4245,3.0225,0.9726,0.6757,0.6905,5.4645,4.417,101.16
1974-06-25,0.8378,283.85,0.4219,3.04,0.969,0.6757,0.6931,5.4526,4.386,100.64
1974-06-26,0.8336,284.09,0.4204,3.013,0.9692,0.6734,0.6892,5.4555,4.415,100.59
1974-06-27,0.8326,283.93,0.4186,3.0225,0.9709,0.6734,0.6894,5.4496,4.3956,100.25
1974-06-28,0.8304,284.25,0.4183,2.9975,0.9723,0.6734,0.6878,5.4437,4.4053,100.16
1974-07-01,0.8283,285.31,0.4191,3.005,0.973,0.6734,0.6879,5.4585,4.4053,100.43
1974-07-02,0.8288,286.61,0.417,2.997,0.9741,0.6734,0.6888,5.4201,4.386,100.11
1974-07-03,0.8262,285.88,0.4172,2.9675,0.9737,0.6734,0.6876,5.385,4.3725,99.99
1974-07-04,0.83,285.88,0.4172,2.977,0.9737,0.6734,0.6877,5.385,4.3725,99.99
1974-07-05,0.8284,287.36,0.4188,2.9775,0.9742,0.6734,0.6888,5.4113,4.3995,100.24
1974-07-08,0.8278,287.94,0.4188,2.9675,0.9746,0.6734,0.6891,5.4113,4.3975,100.31
1974-07-09,0.8299,288.43,0.4188,2.988,0.9734,0.6734,0.6893,5.4142,4.4033,100.4
1974-07-10,0.8303,290.7,0.4188,2.99,0.9737,0.6757,0.6898,5.4171,4.4014,100.55
1974-07-11,0.8316,291.97,0.4197,3.0005,0.9738,0.6757,0.6904,5.4083,4.4033,100.68
1974-07-12,0.8294,289.18,0.4191,2.9925,0.9757,0.6768,0.6912,5.4025,4.3898,100.37
1974-07-15,0.8286,288.85,0.4188,2.9785,0.9761,0.6768,0.6899,5.4083,4.3725,100.15
1974-07-16,0.8264,288.1,0.4191,2.968,0.9775,0.6768,0.6897,5.3937,4.3725,100.17
1974-07-17,0.8261,289.94,0.4184,2.971,0.9788,0.678,0.6896,5.3967,4.3687,100.07
1974-07-18,0.8261,290.36,0.418,2.949,0.979,0.6768,0.6896,5.3821,4.3668,100.08
1974-07-19,0.8258,290.7,0.4179,2.951,0.9815,0.678,0.6893,5.3735,4.3745,100.2
1974-07-22,0.8256,291.29,0.4181,2.938,0.9804,0.678,0.6897,5.3763,4.3687,100.07
1974-07-23,0.8242,292.74,0.4184,2.924,0.9781,0.678,0.6898,5.3821,4.3535,99.86
1974-07-24,0.8183,292.83,0.4177,2.9175,0.9776,0.678,0.69,5.3562,4.2955,98.96
1974-07-25,0.8186,293.94,0.4183,2.925,0.9737,0.678,0.6891,5.3792,4.344,99.86
1974-07-26,0.822,295.42,0.418,2.937,0.9754,0.6757,0.6901,5.3937,4.3611,100.12
1974-07-29,0.8238,298.24,0.4179,2.941,0.9773,0.6745,0.6908,5.4113,4.3668,100.37
1974-07-30,0.8249,297.53,0.4197,2.948,0.9788,0.6745,0.6919,5.4113,4.3668,100.68
1974-07-31,0.8291,298.24,0.4189,2.9748,0.9792,0.6745,0.691,5.4054,4.3687,100.54
1974-08-01,0.8275,299.58,0.4196,2.9748,0.979,0.6745,0.6934,5.3996,4.3764,100.62
1974-08-02,0.8269,300.12,0.4194,2.961,0.9791,0.6745,0.6934,5.3996,4.3764,100.63
1974-08-05,0.8267,300.21,0.4195,2.949,0.979,0.6757,0.6922,5.3967,4.3725,100.63
1974-08-06,0.8243,300.75,0.4202,2.9345,0.9787,0.6757,0.6922,5.3879,4.363,100.76
1974-08-07,0.8283,302.11,0.4208,2.953,0.977,0.6757,0.6929,5.3908,4.3764,101.07
1974-08-08,0.8345,302.75,0.4229,2.978,0.975,0.6757,0.6949,5.4348,4.3956,101.59
1974-08-09,0.8321,302.57,0.4214,2.9585,0.977,0.6745,0.6955,5.4348,4.386,101.33
1974-08-12,0.8345,302.11,0.422,2.961,0.9778,0.6745,0.6947,5.4585,4.3917,101.53
1974-08-13,0.839,301.84,0.424,2.9835,0.9788,0.6745,0.695,5.4765,4.4092,101.97
1974-08-14,0.8392,302.48,0.4244,2.9775,0.977,0.6745,0.697,5.4645,4.4131,101.82
1974-08-15,0.8392,302.75,0.4265,2.972,0.9773,0.6745,0.6968,5.4555,4.4189,102.04
1974-08-16,0.8426,302.94,0.4276,2.979,0.9783,0.6745,0.6986,5.4794,4.4287,102.32
1974-08-19,0.8482,303.12,0.4302,2.996,0.979,0.6745,0.7002,5.5279,4.4524,102.79
1974-08-20,0.8487,303.12,0.431,3.0075,0.9782,0.6745,0.7017,5.531,4.4524,102.66
1974-08-21,0.844,303.49,0.4306,2.9875,0.9777,0.6745,0.7015,5.5157,4.4543,102.65
1974-08-22,0.8476,303.86,0.4323,3.001,0.9785,0.6745,0.7019,5.5432,4.4643,102.87
1974-08-23,0.8484,303.12,0.4306,3.0055,0.9811,0.6745,0.7023,5.5279,4.4623,102.73
1974-08-26,0.8458,302.85,0.4302,2.994,0.9815,0.6734,0.7013,5.5218,4.4464,102.58
1974-08-27,0.8495,302.11,0.4324,2.992,0.9847,0.6734,0.7012,5.5556,4.4803,103.12
1974-08-28,0.8518,302.48,0.4313,3.0085,0.9883,0.6734,0.7029,5.5617,4.4803,103.04
1974-08-29,0.8494,302.94,0.4317,2.999,0.987,0.6734,0.7107,5.5648,4.4843,103.14
1974-08-30,0.8515,302.94,0.4317,3.008,0.9877,0.6757,0.7115,5.5617,4.4803,103.18
1974-09-02,0.8542,302.94,0.4317,3.017,0.9877,0.6757,0.7028,5.5617,4.4803,103.18
1974-09-03,0.8519,302.66,0.4329,3.02,0.9879,0.6757,0.7034,5.5741,4.4863,103.16
1974-09-04,0.8487,302.75,0.4322,3.0005,0.9866,0.6757,0.7126,5.5617,4.4863,103.12
1974-09-05,0.8545,302.57,0.4327,3.0155,0.9856,0.6757,0.7029,5.5835,4.5005,103.44
1974-09-06,0.8531,302.66,0.4328,3.0105,0.9873,0.6734,0.7033,5.5804,4.4863,103.38
1974-09-09,0.8537,302.48,0.4323,3.0135,0.9883,0.6734,0.7033,5.5835,4.4984,103.37
1974-09-10,0.8515,302.75,0.4317,3.0045,0.9862,0.6734,0.703,5.5556,4.4883,103.11
1974-09-11,0.8521,302.11,0.432,3.01,0.9877,0.6734,0.7023,5.5586,4.4903,103.27
1974-09-12,0.8533,301.2,0.4319,3.012,0.9877,0.6734,0.7025,5.5679,4.4924,103.2
1974-09-13,0.8528,299.58,0.4325,3.0035,0.9873,0.6734,0.7022,5.5617,4.4823,103.1
1974-09-16,0.8528,299.4,0.4323,3.0075,0.9879,0.6725,0.7022,5.5648,4.4763,103.07
1974-09-17,0.8499,296.12,0.4316,2.994,0.9877,0.6734,0.7019,5.5463,4.4643,102.65
1974-09-18,0.849,296.03,0.4311,2.9825,0.9876,0.6734,0.7,5.5463,4.4583,102.54
1974-09-19,0.8498,296.82,0.432,2.99,0.9867,0.6745,0.7,5.5463,4.4663,102.75
1974-09-20,0.8512,295.86,0.4321,3,0.9868,0.6734,0.701,5.5556,4.4723,102.76
1974-09-23,0.8512,295.86,0.4317,2.9955,0.9836,0.6734,0.7003,5.5494,4.4643,102.55
1974-09-24,0.8488,294.81,0.432,2.985,0.9838,0.6734,0.6998,5.5402,4.4643,102.55
1974-09-25,0.8501,296.21,0.4318,2.986,0.9829,0.7648,0.7692,5.5556,4.4723,102.67
1974-09-26,0.8493,296.74,0.4305,2.977,0.9842,0.7654,0.7686,5.5494,4.4723,102.62
1974-09-27,0.8481,296.74,0.4288,2.973,0.9856,0.7657,0.7672,5.5402,4.4703,102.46
1974-09-30,0.8456,298.33,0.4287,2.946,0.9859,0.7634,0.7678,5.5371,4.4643,102.48
1974-10-01,0.8449,298.15,0.428,2.9425,0.9848,0.7619,0.767,5.5279,4.4464,102.2
1974-10-02,0.8466,297.97,0.4285,2.9475,0.9843,0.7619,0.7673,5.534,4.4484,102.35
1974-10-03,0.847,299.04,0.4297,2.953,0.9844,0.7678,0.768,5.5006,4.4267,102.25
1974-10-04,0.8432,299.04,0.4283,2.9385,0.9845,0.761,0.7689,5.4407,4.3975,101.94
1974-10-07,0.841,300.03,0.4281,2.923,0.983,0.7616,0.7665,5.4585,4.4014,101.92
1974-10-08,0.8419,299.76,0.4284,2.932,0.9808,0.7616,0.7671,5.4794,4.4014,102
1974-10-09,0.8384,298.69,0.4272,2.914,0.9789,0.7628,0.7676,5.4615,4.3783,101.27
1974-10-10,0.8395,298.77,0.4301,2.921,0.9799,0.7628,0.7661,5.5096,4.4092,101.75
1974-10-11,0.8412,299.13,0.4284,2.919,0.9823,0.7617,0.7675,5.5249,4.4111,101.91
1974-10-14,0.8399,299.13,0.4284,2.921,0.9823,0.7617,0.7668,5.5249,4.4111,101.91
1974-10-15,0.8395,299.13,0.429,2.9115,0.982,0.7634,0.7669,5.5188,4.3937,101.73
1974-10-16,0.8386,299.04,0.4285,2.9115,0.9821,0.7651,0.7673,5.5249,4.3764,101.49
1974-10-17,0.8359,298.95,0.4287,2.89,0.9815,0.7648,0.7665,5.5157,4.3745,101.45
1974-10-18,0.8368,299.31,0.4287,2.8855,0.9822,0.7647,0.7665,5.5188,4.3783,101.42
1974-10-21,0.8385,299.67,0.4292,2.882,0.9839,0.7647,0.7667,5.5279,4.3937,101.65
1974-10-22,0.838,299.94,0.4293,2.8865,0.9838,0.7648,0.768,5.534,4.3956,101.55
1974-10-23,0.835,299.67,0.4287,2.8825,0.9838,0.7655,0.7674,5.5006,4.3725,101.17
1974-10-24,0.8348,299.94,0.4289,2.861,0.9837,0.7645,0.7667,5.5096,4.3745,101.17
1974-10-25,0.8334,299.85,0.4286,2.847,0.9832,0.7645,0.7668,5.5006,4.3764,101.16
1974-10-28,0.8348,300.12,0.4288,2.852,0.9838,0.7645,0.7668,5.5157,4.3821,101.26
1974-10-29,0.8336,299.94,0.4284,2.847,0.9845,0.7645,0.7669,5.5006,4.3725,101.18
1974-10-30,0.8338,299.94,0.4282,2.856,0.9844,0.7645,0.7666,5.5006,4.3821,101.29
1974-10-31,0.8342,299.94,0.4282,2.8695,0.9846,0.7645,0.7667,5.5096,4.3821,101.26
1974-11-01,0.8342,300.48,0.4277,2.862,0.9845,0.7642,0.7667,5.5066,4.3706,101.08
1974-11-04,0.8305,300.48,0.4268,2.841,0.9835,0.7642,0.7655,5.4915,4.3573,100.85
1974-11-05,0.8286,300.48,0.4268,2.822,0.9835,0.7642,0.7651,5.4915,4.3573,100.85
1974-11-06,0.8288,300.48,0.426,2.826,0.9855,0.7642,0.7655,5.4855,4.3478,100.71
1974-11-07,0.8284,299.76,0.4262,2.811,0.9864,0.7628,0.7645,5.4765,4.3422,100.49
1974-11-08,0.8314,299.67,0.4283,2.802,0.988,0.7628,0.7648,5.4765,4.3535,100.89
1974-11-11,0.8314,299.67,0.4283,2.8025,0.988,0.7628,0.7658,5.4765,4.3535,100.89
1974-11-12,0.832,300.3,0.435,2.801,0.9899,0.7634,0.767,5.5066,4.3478,101.39
1974-11-13,0.8352,300.12,0.4342,2.8125,0.9913,0.7675,0.7719,5.5066,4.3554,101.23
1974-11-14,0.8302,300.3,0.4322,2.758,0.9899,0.766,0.771,5.4675,4.3234,100.48
1974-11-15,0.8244,299.94,0.4321,2.68,0.9888,0.7634,0.7684,5.4318,4.3103,100.38
1974-11-18,0.8205,299.67,0.4287,2.6515,0.9886,0.7628,0.7684,5.3447,4.2248,99.14
1974-11-19,0.8194,299.94,0.4304,2.63,0.9866,0.7596,0.7636,5.3821,4.2808,99.84
1974-11-20,0.8225,299.94,0.4311,2.648,0.9859,0.761,0.7658,5.4437,4.3197,100.33
1974-11-21,0.8292,299.94,0.4308,2.7525,0.9866,0.7628,0.7669,5.4555,4.3478,100.69
1974-11-22,0.8212,299.85,0.431,2.8,0.9881,0.7628,0.7668,5.3677,4.3011,100.01
1974-11-25,0.8222,300.21,0.4306,2.736,0.9872,0.7605,0.7669,5.3735,4.279,99.58
1974-11-26,0.8178,300.12,0.4302,2.658,0.9876,0.7605,0.7661,5.3533,4.2662,99.38
1974-11-27,0.8181,299.85,0.4302,2.691,0.9868,0.761,0.7646,5.3763,4.2845,99.42
1974-11-28,0.8185,299.85,0.4302,2.694,0.9868,0.761,0.7644,5.3763,4.2845,99.42
1974-11-29,0.8185,300.3,0.43,2.716,0.9874,0.761,0.7652,5.3706,4.2644,99.57
1974-12-02,0.8224,300.39,0.4302,2.7365,0.9885,0.761,0.7648,5.3996,4.2882,99.99
1974-12-03,0.8241,300.03,0.4304,2.7515,0.9894,0.7619,0.7653,5.2798,4.268,99.92
1974-12-04,0.8191,299.76,0.4296,2.701,0.9865,0.7619,0.7655,5.3821,4.2499,99.49
1974-12-05,0.8191,300.03,0.4294,2.6685,0.9875,0.7606,0.7645,5.3562,4.2499,99.34
1974-12-06,0.8178,299.94,0.4292,2.661,0.9878,0.761,0.7637,5.3735,4.2608,99.47
1974-12-09,0.8128,299.85,0.4283,2.649,0.9869,0.7605,0.7639,5.3562,4.2355,98.99
1974-12-10,0.8161,299.76,0.4303,2.6465,0.9867,0.7596,0.7627,5.3562,4.2159,98.98
1974-12-11,0.8115,299.76,0.4318,2.632,0.9856,0.7596,0.7642,5.3476,4.2176,98.89
1974-12-12,0.8092,300.03,0.4337,2.5975,0.9855,0.7596,0.7654,5.3135,4.2105,98.69
1974-12-13,0.8128,300.03,0.4323,2.606,0.9864,0.7599,0.7673,5.3135,4.2088,98.89
1974-12-16,0.8111,300.3,0.4293,2.596,0.9876,0.7593,0.7651,5.2994,4.2052,98.55
1974-12-17,0.8056,300.48,0.4284,2.582,0.9896,0.7593,0.7625,5.2604,4.1494,97.93
1974-12-18,0.8034,300.66,0.4271,2.5475,0.9893,0.7564,0.7616,5.2576,4.1597,98.09
1974-12-19,0.8095,300.84,0.4293,2.6,0.9894,0.7564,0.7608,5.2826,4.1719,98.51
1974-12-20,0.8083,301.11,0.43,2.59,0.9893,0.7564,0.7643,5.2687,4.1563,98.29
1974-12-23,0.8077,301.02,0.4293,2.58,0.9893,0.759,0.7641,5.291,4.1442,98.25
1974-12-24,0.806,301.2,0.429,2.54,0.9887,0.759,0.7633,5.277,4.1356,98
1974-12-25,0.806,301.2,0.429,2.54,0.9887,0.759,0.7633,5.277,4.1356,98
1974-12-26,0.8041,301.11,0.4288,2.54,0.9883,0.759,0.7633,5.2411,4.1322,98.01
1974-12-27,0.8018,300.75,0.4268,2.54,0.9885,0.7605,0.7622,5.2301,4.0984,97.63
1974-12-30,0.7968,300.57,0.4263,2.505,0.9906,0.7567,0.7605,5.1787,4.0617,97.29
1974-12-31,0.7953,301.02,0.4261,2.54,0.9914,0.755,0.7602,5.2165,4.0766,97.29
1975-01-01,0.7953,301.02,0.4261,2.54,0.9914,0.755,0.7602,5.2165,4.0766,97.29
1975-01-02,0.8004,300.66,0.4281,2.54,0.9917,0.7553,0.7602,5.2329,4.1,97.71
1975-01-03,0.7959,300.84,0.4271,2.525,0.9919,0.7567,0.7621,5.176,4.065,97.17
1975-01-06,0.7943,301.02,0.4252,2.5085,0.9917,0.755,0.7605,5.144,4.0128,96.62
1975-01-07,0.7898,300.93,0.4246,2.5315,0.9937,0.7533,0.7584,5.1282,4.0355,96.64
1975-01-08,0.7893,300.75,0.4258,2.5575,0.9938,0.7536,0.7575,5.16,4.0667,97.14
1975-01-09,0.793,300.84,0.4256,2.561,0.9966,0.7548,0.7595,5.176,4.0601,96.94
1975-01-10,0.7901,300.84,0.4251,2.552,0.9982,0.7533,0.7589,5.144,4.0617,96.86
1975-01-13,0.7913,300.93,0.4248,2.5585,0.9978,0.7541,0.7586,5.1388,4.065,96.98
1975-01-14,0.7939,300.93,0.4261,2.571,0.9967,0.7541,0.7584,5.1653,4.1017,97.39
1975-01-15,0.7958,301.02,0.4254,2.574,0.9953,0.7556,0.7595,5.1546,4.0883,97.11
1975-01-16,0.7908,300.75,0.4249,2.563,0.9932,0.7541,0.7583,5.1467,4.07,96.92
1975-01-17,0.7898,300.84,0.4249,2.5555,0.9918,0.7539,0.7584,5.1414,4.0684,96.82
1975-01-20,0.7897,301.02,0.4244,2.5545,0.9911,0.7539,0.7584,5.123,4.0469,96.37
1975-01-21,0.783,300.84,0.4231,2.5055,0.9925,0.7524,0.7568,5.0968,4.0388,96.15
1975-01-22,0.7784,300.3,0.4183,2.5,0.9933,0.7519,0.7561,5.0633,4.0486,96.16
1975-01-23,0.7748,299.67,0.42,2.515,0.9938,0.7502,0.7533,5.0429,4.0145,95.47
1975-01-24,0.7735,295.33,0.4196,2.484,0.9949,0.7491,0.7535,5.0125,4,95.07
1975-01-27,0.7713,294.99,0.4168,2.457,0.9964,0.7505,0.7508,4.9628,3.9386,94.43
1975-01-28,0.7685,297.44,0.4197,2.409,0.9962,0.7433,0.7481,4.99,3.9698,94.95
1975-01-29,0.7823,297.35,0.4218,2.478,0.9966,0.7465,0.7508,5.0736,4.0161,95.75
1975-01-30,0.7759,297.8,0.421,2.493,0.9983,0.7477,0.7534,5.0505,4.0161,95.59
1975-01-31,0.7786,297.97,0.42,2.497,0.9995,0.7485,0.7524,5.0633,4.0145,95.61
1975-02-03,0.7734,297.44,0.4211,2.476,0.9999,0.7463,0.7517,5.0353,3.9936,95.88
1975-02-04,0.7875,297.09,0.4221,2.564,0.9991,0.7477,0.7538,5.0968,4.0601,96.37
1975-02-05,0.7881,297.27,0.422,2.54,0.9989,0.7493,0.754,5.1073,4.065,96.41
1975-02-06,0.7884,297,0.4223,2.5435,0.9991,0.7493,0.754,5.0813,4.0502,96.16
1975-02-07,0.7852,295.6,0.4213,2.5285,1.0008,0.7479,0.7537,5.0736,4.0323,95.98
1975-02-10,0.7812,292.4,0.4192,2.521,1.0026,0.7446,0.752,5.0865,4.0096,95.4
1975-02-11,0.7794,291.63,0.4197,2.5025,1.0047,0.7432,0.7484,5.0454,4.008,95.49
1975-02-12,0.7798,291.63,0.4186,2.5075,1.0047,0.7432,0.7491,5.0454,4.008,95.49
1975-02-13,0.7758,292.83,0.4184,2.483,1.0023,0.7432,0.7476,4.9975,3.992,94.96
1975-02-14,0.7732,293.26,0.4183,2.463,1.0021,0.7421,0.7479,5,3.9793,94.98
1975-02-17,0.7718,293.26,0.4179,2.469,1.0021,0.7421,0.748,5,3.9793,94.98
1975-02-18,0.7734,293.34,0.4178,2.468,1.0038,0.7421,0.7477,5.0075,3.9698,94.77
1975-02-19,0.7728,291.55,0.4171,2.4655,1.0023,0.7421,0.7473,5.0025,3.9714,94.76
1975-02-20,0.7728,291.12,0.4165,2.486,1.0016,0.7407,0.7464,5,3.9479,94.37
1975-02-21,0.7693,289.52,0.4162,2.456,1.0001,0.7396,0.7451,4.9677,3.9463,94.22
1975-02-24,0.7655,285.88,0.4128,2.453,1.0003,0.738,0.7444,4.9505,3.9185,93.56
1975-02-25,0.7607,285.96,0.4138,2.411,0.9974,0.7358,0.7401,4.9432,3.9185,93.71
1975-02-26,0.7616,285.63,0.4125,2.417,0.9966,0.735,0.7419,4.9213,3.9185,93.21
1975-02-27,0.7574,285.88,0.4119,2.3935,0.9979,0.7331,0.7404,4.902,3.9047,92.93
1975-02-28,0.7586,286.45,0.4117,2.3945,0.9982,0.7331,0.7388,4.902,3.8986,93
1975-03-03,0.7551,285.39,0.4111,2.399,0.9986,0.7331,0.7387,4.878,3.867,92.82
1975-03-04,0.7591,284.66,0.4116,2.407,0.9978,0.7331,0.7387,4.8852,3.8895,93.2
1975-03-05,0.7609,285.23,0.4109,2.457,0.9978,0.7323,0.739,4.8876,3.9032,93.17
1975-03-06,0.7588,285.71,0.4119,2.435,0.9982,0.7326,0.7378,4.89,3.8971,93.4
1975-03-07,0.7652,285.96,0.4153,2.441,0.9992,0.7337,0.7396,4.931,3.9324,94.09
1975-03-10,0.7709,286.21,0.4156,2.4955,1.0004,0.738,0.7455,4.9751,3.9526,94.18
1975-03-11,0.7657,286.12,0.4129,2.481,1.0028,0.7366,0.7432,4.9044,3.92,93.7
1975-03-12,0.7634,287.27,0.4149,2.4675,1.0007,0.735,0.7405,4.9261,3.937,94.18
1975-03-13,0.7668,288.85,0.414,2.492,1.0004,0.7372,0.7442,4.9358,3.9448,94.19
1975-03-14,0.7663,288.1,0.4136,2.48,0.9999,0.7375,0.7428,4.9068,3.9526,93.99
1975-03-17,0.7649,286.53,0.4134,2.486,1.0004,0.7369,0.7421,4.9285,3.9324,93.86
1975-03-18,0.763,287.19,0.4123,2.4775,1.0004,0.7353,0.7419,4.9092,3.9139,93.6
1975-03-19,0.7611,288.18,0.4117,2.4635,0.9994,0.7348,0.7405,4.8924,3.9002,93.44
1975-03-20,0.763,287.19,0.4125,2.4725,1.0001,0.7356,0.7407,4.9164,3.9246,93.67
1975-03-21,0.764,287.44,0.4131,2.482,0.9998,0.7356,0.7409,4.902,3.9246,93.86
1975-03-24,0.7672,287.77,0.4137,2.5035,1.0004,0.7356,0.7417,4.9044,3.9308,94.09
1975-03-25,0.768,290.02,0.414,2.526,1.0017,0.7375,0.7431,4.9261,3.9277,94.29
1975-03-26,0.7679,290.53,0.4145,2.5195,1.0017,0.738,0.7438,4.9092,3.9339,94.49
1975-03-27,0.7696,292.06,0.4162,2.528,1.0031,0.7402,0.7447,4.9213,3.951,94.87
1975-03-28,0.7696,292.48,0.4162,2.528,1.0033,0.7402,0.7447,4.9213,3.9494,94.87
1975-03-31,0.7696,294.03,0.4162,2.528,1.0035,0.7402,0.7447,4.9092,3.9308,94.82
1975-04-01,0.77,290.87,0.4153,2.5315,1.0023,0.7429,0.7463,4.931,3.9448,94.45
1975-04-02,0.7668,291.55,0.4153,2.514,1.0023,0.7407,0.7457,4.914,3.9231,94.54
1975-04-03,0.7713,292.31,0.4163,2.5375,1.003,0.7413,0.7457,4.9261,3.9463,94.78
1975-04-04,0.7751,292.23,0.4183,2.556,1.004,0.7413,0.7471,4.953,3.9463,95.36
1975-04-07,0.7754,291.97,0.4202,2.5565,1.0051,0.7446,0.7495,4.953,3.9667,95.36
1975-04-08,0.776,291.89,0.4199,2.551,1.0075,0.7449,0.751,4.9603,3.9651,95.14
1975-04-09,0.7744,291.89,0.4205,2.546,1.0054,0.744,0.75,4.9554,3.9604,95.5
1975-04-10,0.7788,291.8,0.4232,2.5675,1.0073,0.7446,0.7508,4.9875,4,95.79
1975-04-11,0.7791,291.12,0.4227,2.5675,1.0082,0.7463,0.7531,4.985,3.9841,95.63
1975-04-14,0.7824,291.29,0.4243,2.579,1.0093,0.7457,0.7518,5.0176,4.0112,95.9
1975-04-15,0.7808,290.95,0.4227,2.5755,1.0108,0.7522,0.7534,5.005,3.9984,95.57
1975-04-16,0.7792,291.38,0.4226,2.574,1.0112,0.7457,0.7526,5.0075,3.9857,95.57
1975-04-17,0.7787,291.72,0.4224,2.568,1.0152,0.7457,0.7532,5.0075,3.9857,95.55
1975-04-18,0.7764,291.8,0.4211,2.565,1.0171,0.7452,0.7511,5.0025,3.9777,95.54
1975-04-21,0.7785,292.83,0.4233,2.5685,1.0147,0.7452,0.7509,5.0125,3.9841,95.69
