,"Euro Area, FX Spot Rates, Macrobond, EUR per USD","Japan, FX Spot Rates, Macrobond, JPY per USD","United Kingdom, FX Spot Rates, Macrobond, GBP per USD","Switzerland, FX Spot Rates, Macrobond, CHF per USD","Canada, FX Spot Rates, Macrobond, CAD per USD","Australia, FX Spot Rates, Macrobond, AUD per USD","New Zealand, FX Spot Rates, Macrobond, NZD per USD","Norway, FX Spot Rates, Macrobond, NOK per USD","Sweden, FX Spot Rates, Macrobond, SEK per USD","United States, FX Indices, ICE, U.S. Dollar Index, Close"
2001-04-09,1.1086,125.025,0.6898,1.696,1.5639,2.0241,2.4701,9.0266,10.13,115.21
2001-04-10,1.1234,124.4907,0.6949,1.7136,1.5564,2.0159,2.4767,9.0803,10.1567,116.02
2001-04-11,1.1304,124.695,0.6974,1.719,1.5607,1.9895,2.4771,9.1447,10.2129,116.13
2001-04-12,1.1193,123.4357,0.6943,1.703,1.5603,1.9694,2.4549,9.0584,10.1007,115.54
2001-04-13,1.1193,123.4357,0.6943,1.703,1.5603,1.9694,2.4549,9.0584,10.1007,115.54
2001-04-16,1.1309,124.57,0.6972,1.7206,1.5644,1.9633,2.4501,9.1519,10.208,116.18
2001-04-17,1.1336,123.7507,0.6985,1.7279,1.5562,1.9772,2.4673,9.1245,10.2806,116.46
2001-04-18,1.1458,122.5958,0.7033,1.7517,1.5671,2.0212,2.4912,9.1558,10.349,116.13
2001-04-19,1.1249,121.7708,0.696,1.7207,1.5476,1.9667,2.4648,9.0774,10.1351,115.02
2001-04-20,1.1097,122.6807,0.6937,1.6981,1.5453,1.9299,2.4101,9.0287,10.0986,114.32
2001-04-23,1.1145,121.7808,0.6948,1.7053,1.5441,1.9753,2.4351,9.0632,10.2019,114.77
2001-04-24,1.1187,122.2208,0.6963,1.7126,1.5495,1.985,2.453,9.1102,10.2613,115.2
2001-04-25,1.1146,122.0808,0.6945,1.7071,1.5426,1.9803,2.438,9.0993,10.2087,114.98
2001-04-26,1.1089,122.3208,0.6943,1.7026,1.5437,1.9648,2.4269,9.0476,10.1207,114.46
2001-04-27,1.1204,123.785,0.696,1.7215,1.5405,1.961,2.427,9.0956,10.1797,115.62
2001-04-30,1.128,123.535,0.6989,1.7348,1.5365,1.9579,2.4257,9.1135,10.271,115.85
2001-05-01,1.122,122.07,0.698,1.7297,1.534,1.9348,2.3955,9.06,10.2283,115.3
2001-05-02,1.1216,121.99,0.6975,1.7312,1.531,1.9218,2.3633,9.0717,10.2506,115.16
2001-05-03,1.1191,121.0401,0.6977,1.7269,1.5331,1.9137,2.3593,9.0629,10.225,115.38
2001-05-04,1.1172,121.02,0.6957,1.7271,1.5332,1.9258,2.3672,9.0393,10.186,114.93
2001-05-07,1.1218,121.2458,0.6943,1.7309,1.5386,1.9273,2.3741,9.0508,10.2427,115.32
2001-05-08,1.1297,121.8208,0.6981,1.7413,1.5449,1.924,2.3696,9.0935,10.2947,116.08
2001-05-09,1.1309,122.13,0.7033,1.7424,1.5411,1.9141,2.361,9.1131,10.305,116.05
2001-05-10,1.1323,122.6607,0.7028,1.7419,1.5402,1.8991,2.3416,9.1151,10.2501,116.37
2001-05-11,1.1414,122.2651,0.7042,1.7506,1.5476,1.9189,2.37,9.1626,10.2618,116.84
2001-05-14,1.1442,123.225,0.705,1.7526,1.5527,1.9299,2.3858,9.1605,10.319,117.14
2001-05-15,1.1382,123.385,0.7033,1.7439,1.5481,1.9271,2.3889,9.1291,10.2476,116.79
2001-05-16,1.1308,123.6257,0.6996,1.7327,1.5405,1.917,2.3716,9.082,10.2643,116.14
2001-05-17,1.1347,123.03,0.6994,1.7416,1.5355,1.8931,2.348,9.0815,10.2505,116.12
2001-05-18,1.1404,123.725,0.6995,1.7492,1.5339,1.9039,2.3472,9.0564,10.258,116.41
2001-05-21,1.1428,122.925,0.6961,1.7505,1.5319,1.8854,2.3343,9.0698,10.2611,116.52
2001-05-22,1.154,122.68,0.7002,1.7661,1.5427,1.9126,2.3571,9.1558,10.3595,117.69
2001-05-23,1.1617,120.545,0.7019,1.7743,1.5457,1.9248,2.3669,9.2182,10.485,118.29
2001-05-24,1.1661,119.8808,0.7091,1.7787,1.5481,1.9304,2.3648,9.2134,10.5186,118.36
2001-05-25,1.1671,120.6808,0.7039,1.781,1.5459,1.9258,2.3562,9.211,10.5715,118.18
